pair,trades,total_pnl,avg_pnl,win_rate,beta
XCHUSDT_GLMRUSDT,18,3.55,0.2,94.44,59.9836
XCHUSDT_1000APUUSDT,18,4.62,0.26,94.44,21.0676
XCHUSDT_QNTUSDT,15,1.93,0.13,66.67,0.1248
MASKUSDT_REDUSDT,15,0.82,0.05,60.0,4.999
XCHUSDT_HBARUSDT,16,3.07,0.19,87.5,45.4784
XCHUSDT_SPELLUSDT,13,3.66,0.28,84.62,11920.2626
XCHUSDT_AVAILUSDT,15,2.3,0.15,80.0,126.3272
XCHUSDT_EIGENUSDT,19,4.12,0.22,89.47,4.5595
XCHUSDT_ALICEUSDT,16,3.67,0.23,93.75,12.0851
XCHUSDT_ADAUSDT,16,2.53,0.16,87.5,13.51
XCHUSDT_DYMUSDT,17,4.09,0.24,88.24,13.762
XCHUSDT_SCRUSDT,18,2.79,0.16,83.33,12.1328
XCHUSDT_INJUSDT,18,3.84,0.21,77.78,0.6237
XCHUSDT_RVNUSDT,16,2.1,0.13,68.75,688.2968
XCHUSDT_SONICUSDT,12,1.85,0.15,83.33,21.1737
XCHUSDT_BATUSDT,14,3.16,0.23,92.86,52.3309
